"project_id";"project_name";"app_id";"app_name";"first_seen_at";"last_seen_at";"last_seen_app_version";"last_seen_ip_country";"last_seen_platform";"last_seen_platform_version";"last_seen_sdk_version";"last_seen_locale";"price_experiment_id";"price_experiment_variant";"email";"phone_number";"media_source";"campaign";"ad_group";"ad";"keyword";"creative";"idfa";"idfv";"gps_ad_id";"custom_attributes";"has_made_sandbox_purchase";"latest_entitlement";"latest_entitlements";"latest_product";"is_rc_promo";"first_purchase_at";"trial_start_at";"trial_end_at";"most_recent_purchase_at";"most_recent_renewal_at";"latest_expiration_at";"subscription_opt_out_at";"trial_opt_out_at";"total_renewals";"total_spent";"latest_store";"latest_store_country";"latest_auto_renew_intent";"all_purchased_product_ids";"most_recent_billing_issues_at";"status";"has_made_a_non_subscription_purchase";"latest_offer";"latest_offer_type";"latest_purchased_offering";"latest_ownership_type";"app_user_id";"currency"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1774095474048;1779227937000;"1.4.0";"US";"iOS";"Version 26.3.1 (a) (Build 23D771330a)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1774095644000;1774095644000;1774354844000;1777033244000;1777033244000;1779625244000;;;1;17.980000000000000;"app_store";"US";"t";"100";;"active";"f";;"no_offer";"default";"PURCHASED";"$RCAnonymousID:0273a92be11549f289f328e4f1c69042";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1775060995619;1775320243000;"1.4.0";"US";"iOS";"Version 26.3.1 (a) (Build 23D771330a)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"103";false;1775065823000;1775065823000;1775325023000;1775325023000;;1806861023000;1775436508807;;0;59.990000000000002;"app_store";"US";"f";"103";;"cancelled";"f";;"no_offer";"default";"PURCHASED";"$RCAnonymousID:1af4776b3ed84027b776138503308526";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1775128618039;1779028874000;"1.5.3";"US";"iOS";"Version 26.3.1 (a) (Build 23D771330a)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1775128677000;1775128677000;1775387877000;1777979877000;1777979877000;1780658277000;;;1;17.980000000000000;"app_store";"US";"t";"100";;"active";"f";;"no_offer";"default";"PURCHASED";"hw_A93A9A7A-6DFF-45DD-B8DD-F11844277EBA";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1777093162012;1777408308000;"1.4.0";"US";"iOS";"Version 26.4.2 (Build 23E261)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1777408342000;1777408342000;1777667542000;1777667542000;;1780345942000;1778222039817;;0;8.990000000000000;"app_store";"US";"f";"100";;"cancelled";"f";;"no_offer";"default";"PURCHASED";"$RCAnonymousID:c086096ec17e4b6d9b893245b6dcb630";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1776884008578;1779311192000;"1.5.3";"US";"iOS";"Version 26.2 (Build 23C55)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1777824393000;1777824393000;1778083593000;1778083593000;;1780761993000;;;0;8.990000000000000;"app_store";"US";"t";"100";;"active";"f";;"no_offer";"default";"PURCHASED";"hw_CF81A1AC-9D45-4040-9FC8-A5D649E5A1F2";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1777288347505;1777288373000;"1.4.0";"US";"iOS";"Version 26.3.1 (a) (Build 23D771330a)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1777288473000;1777288473000;1777547673000;1777547673000;;1780139673000;;;0;8.990000000000000;"app_store";"US";"t";"100";;"active";"f";;"no_offer";"default";"PURCHASED";"$RCAnonymousID:a3dcd2b247804aceafe2bb27750b70b1";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1777268833624;1778689073000;"1.5.3";"US";"iOS";"Version 26.4.2 (Build 23E261)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1777268913000;1777268913000;1777528113000;1777528113000;;1780120113000;;;0;8.990000000000000;"app_store";"US";"t";"100";;"active";"f";;"no_offer";"default";"PURCHASED";"hw_81313FC9-E939-4033-B8E0-1271A1299071";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1775917037043;1779152458000;"1.5.3";"US";"iOS";"Version 26.3.1 (a) (Build 23D771330a)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"101";false;1775917084000;1775917084000;1776176284000;1778949947000;1778949947000;1779554747000;;;4;14.950000000000000;"app_store";"US";"t";"101,100";;"active";"f";;"no_offer";"default";"PURCHASED";"hw_D597221F-9553-4BEA-9C50-6C035B78364A";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1775209153890;1775446222000;"1.4.0";"US";"iOS";"Version 26.3.1 (a) (Build 23D771330a)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1775209253000;1775209253000;1775468453000;1778060453000;1778060453000;1780738853000;;;1;17.980000000000000;"app_store";"US";"t";"100";;"active";"f";;"no_offer";"default";"PURCHASED";"$RCAnonymousID:4ee342105753430b8a4f545c1678eeec";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1778427758441;1778942730000;"1.5.3";"US";"iOS";"Version 26.4.2 (Build 23E261)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1778437593000;1778437593000;1778696793000;1779008839000;;1781687239000;1779127083987;;0;8.990000000000000;"app_store";"US";"f";"100";;"cancelled";"f";;"no_offer";"default";"PURCHASED";"hw_E827D165-B294-4E44-8773-A949D17051D0";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1777389787217;1777509132000;"1.4.0";"US";"iOS";"Version 26.4.2 (Build 23E261)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"101";false;1777389921000;1777389921000;1777649121000;1778858721000;1778858721000;1779463521000;;;2;8.970000000000000;"app_store";"US";"t";"101";;"active";"f";;"no_offer";"default";"PURCHASED";"$RCAnonymousID:be52fbff8e7540a9a66f7b514296138d";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1777855995156;1778262939000;"1.5.3";"US";"iOS";"Version 26.3.1 (Build 23D8133)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1777856132000;1777856132000;1778115332000;1778115332000;;1780793732000;;;0;8.990000000000000;"app_store";"US";"t";"100";;"active";"f";;"no_offer";"default";"PURCHASED";"hw_5EBADDED-2F3B-4A1E-B64F-631282E79D17";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1777338303542;1778958710000;"1.4.0";"US";"iOS";"Version 26.2 (Build 23C55)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1777338408000;1777338408000;1777597608000;1777597608000;;1780189608000;;;0;8.990000000000000;"app_store";"US";"t";"100";;"active";"f";;"no_offer";"default";"PURCHASED";"$RCAnonymousID:b266249b2b214c939b6b6b5b0c1ee82b";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1775567641992;1775775315000;"1.4.0";"US";"iOS";"Version 26.3.1 (a) (Build 23D771330a)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1775571654000;1775571654000;1775830854000;1778422854000;1778422854000;1781101254000;;;1;17.980000000000000;"app_store";"US";"t";"100";;"active";"f";;"no_offer";"default";"PURCHASED";"$RCAnonymousID:9a9f29092cbb49dc8fbcba7ce51b6c19";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1774994700455;1777055636000;"1.4.0";"US";"iOS";"Version 26.3.1 (a) (Build 23D771330a)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"103";false;1774995126000;1774995126000;1775254326000;1775254326000;;1806790326000;;;0;59.990000000000002;"app_store";"US";"t";"103";;"active";"f";;"no_offer";"default";"PURCHASED";"$RCAnonymousID:f8326adbc5624fbda2e64faad2db831e";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1775132941367;1779318028000;"1.5.3";"CA";"iOS";"Version 26.4.2 (Build 23E261)";"5.55.1";"en-CA,en-US;q=0.9,en;q=0.8";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1775132989000;1775132989000;1775392189000;1777984189000;1777984189000;1780662589000;;;1;17.396761653281162;"app_store";"CA";"t";"100";;"active";"f";;"no_offer";"default";"PURCHASED";"hw_4343CA23-BFA4-463B-9126-5732A8C8395B";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1777563428814;1779046866000;"1.5.3";"US";"iOS";"Version 26.4.2 (Build 23E261)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1777563521000;1777563521000;1777822721000;1777822721000;;1780501121000;;;0;8.990000000000000;"app_store";"US";"t";"100";;"active";"f";;"no_offer";"default";"PURCHASED";"hw_9C3CD8FE-1CC1-42EF-BCC7-1E034E1DD921";"USD"
"e1533c84";"Pocket Pricer";"appc77c03e0ac";"Pocket Pricer (App Store) (App Store)";1775934303059;1779329100000;"1.4.0";"US";"iOS";"Version 26.2.1 (Build 23C71)";"5.55.1";"en-US,en;q=0.9";;;;;;;;;;;;;;;"f";;"Pocket Pricer Pro";"100";false;1775934356000;1775934356000;1776193556000;1778785556000;1778785556000;1781463956000;;;1;17.980000000000000;"app_store";"US";"t";"100";;"active";"f";;"no_offer";"default";"PURCHASED";"$RCAnonymousID:2584ca4b5b094f14a0b8ce23ab4e7066";"USD"
